rank,project,prior_score,prior_confidence,recalculated_score,recalculated_confidence,ownership_evidence_status,capital_evidence_status,additional_evidence_ids,additional_evidence_urls,accepted_change,remaining_limiter,upper_estimate
11,Chainlink,65,Medium,65,Medium,Unknown,Unknown,TOKENOMIST-OVERVIEW|TOKENOMIST-API|DEFILLAMA-RAISES,https://docs.tokenomist.ai/overview|https://docs.tokenomist.ai/api-documents/introduction|https://defillama.com/raises?chain=None,Added allocation and funding discovery sources; no gate closed,Complete founder/affiliate holdings register and reconciled capital ledger,true
12,Cardano,60,Low,60,Low,Unknown,Unknown,ADA-SEC-COMPLAINT|TOKENOMIST-OVERVIEW|DEFILLAMA-RAISES,https://www.sec.gov/file/comp-pr2023-237|https://docs.tokenomist.ai/overview|https://defillama.com/raises?chain=None,Added SEC historical sale and specialist funding/allocation evidence; no gate closed,Complete founder/affiliate holdings register and reconciled outside-capital ledger,true
13,Stellar,58,Low,58,Low,Unknown,Unknown,CRYPTO-RANK-API|TOKENOMIST-OVERVIEW|DEFILLAMA-RAISES,https://api.cryptorank.io/v2/documentation/|https://docs.tokenomist.ai/overview|https://defillama.com/raises?chain=None,Added market/allocation/funding discovery sources; no gate closed,Complete founder/affiliate holdings register and reconciled outside-capital ledger,true
14,Canton,42,Low,42,Low,Unknown,Unknown,CANTON-FAQ|CANTON-2025-FUNDING|DEFILLAMA-RAISES,https://www.canton.network/faq|https://www.canton.network/canton-network-press-releases/digital-asset-raises-135-million-to-accelerate-adoption-of-canton-network?hs_amp=true|https://defillama.com/raises?chain=None,Added issuer token-design and sponsor-funding evidence; no gate closed,Founder attribution detail; complete holder register; and capital ledger,true
15,Figure,70,Medium,70,Medium,Accepted,Unknown,FIGURE-PROXY-2026|DEFILLAMA-RAISES,https://www.sec.gov/Archives/edgar/data/2064124/000206412426000020/figr-20260424.htm|https://defillama.com/raises?chain=None,Added current SEC ownership evidence; capital/snapshot gate unchanged,Complete capital ledger and post-May share-count reconciliation,true
16,Galaxy Digital,65,Medium,65,Medium,Accepted,Unknown,GALAXY-PROXY-2026|DEFILLAMA-RAISES,https://www.sec.gov/Archives/edgar/data/1859392/000185939226000037/glxy-20260408.htm|https://defillama.com/raises?chain=None,Added current SEC ownership evidence and funding discovery; capital/snapshot gate unchanged,Complete capital ledger and share-count changes after May 5,true
17,Litecoin,65,Medium,65,Medium,Unknown,Unknown,LTC-GRAYSCALE-10K|CRYPTO-RANK-API,https://www.sec.gov/Archives/edgar/data/1732406/000173240625000005/ltcn-20250630.htm|https://api.cryptorank.io/v2/documentation/,Added SEC negative evidence and market-discovery source; no gate closed,Complete founder address attestation and reconciled outside-capital ledger,true
18,Hedera,58,Low,58,Low,Unknown,Unknown,HBAR-SEC-10K|HBAR-TREASURY,https://www.sec.gov/Archives/edgar/data/2039458/000199937126007353/hbar-10k_123125.htm|https://hederacouncil.org/treasury,Added SEC allocation and current treasury evidence; no gate closed,Complete founder/affiliate holdings register and reconciled outside-capital ledger,true
19,Avalanche,60,Low,60,Low,Unknown,Unknown,AVAX-SEC-S1A6|CRYPTO-RANK-UNLOCKS|DEFILLAMA-RAISES,https://www.sec.gov/Archives/edgar/data/2035053/000119312526096950/avax_s-1_amendment_6.htm|https://cryptorank.io/token-unlock|https://defillama.com/raises?chain=None,Added SEC allocation and specialist supply/funding evidence; no gate closed,Complete founder/affiliate holdings register; other outside capital remains unresolved,true
20,Sui,65,Medium,65,Medium,Unknown,Accepted,SUI-TOKEN-SCHEDULE|TOKENOMIST-OVERVIEW|DEFILLAMA-RAISES,https://www.sui.io/token-schedule|https://docs.tokenomist.ai/overview|https://defillama.com/raises?chain=None,Added issuer allocation and specialist funding evidence; accepted capital gate unchanged,Complete founder/affiliate holdings register; other outside capital remains unresolved,true
